21 1 1
41 2 1
72 2 1
100 2 1
138 2 1
156 2 1
10 5 1
19 5 1
37 5 1
46 5 1
58 5 1
61 5 1
97 5 1
98 5 1
139 5 1
159 5 1
19 6 1
19 8 5
22 8 1
38 8 1
44 8 2
76 8 1
94 8 1
114 8 2
117 8 1
158 8 1
170 8 1
197 8 1
200 8 1
44 9 2
49 9 1
2 10 3
3 10 2
4 10 4
5 10 2
6 10 5
7 10 2
9 10 1
10 10 1
11 10 4
13 10 4
14 10 4
16 10 5
19 10 31
20 10 1
21 10 5
22 10 5
23 10 2
24 10 7
25 10 12
26 10 5
27 10 1
29 10 3
30 10 1
31 10 1
32 10 2
33 10 1
34 10 1
35 10 2
37 10 1
38 10 1
39 10 1
40 10 1
41 10 1
42 10 1
44 10 11
46 10 3
49 10 3
50 10 2
51 10 1
52 10 3
53 10 9
54 10 6
57 10 6
58 10 1
59 10 2
60 10 2
61 10 5
63 10 1
64 10 1
65 10 9
66 10 5
67 10 3
68 10 2
69 10 3
70 10 1
71 10 3
72 10 3
73 10 16
74 10 2
75 10 1
76 10 5
77 10 2
78 10 3
79 10 3
80 10 3
81 10 3
82 10 1
84 10 1
87 10 3
88 10 1
89 10 6
90 10 3
91 10 2
93 10 3
94 10 2
95 10 3
96 10 2
98 10 2
99 10 1
102 10 2
104 10 3
106 10 7
109 10 3
110 10 2
111 10 4
112 10 6
113 10 3
114 10 2
116 10 2
117 10 9
118 10 2
119 10 1
120 10 1
122 10 2
123 10 6
124 10 3
125 10 2
126 10 1
127 10 1
128 10 2
129 10 3
130 10 5
131 10 1
132 10 8
134 10 6
135 10 2
136 10 1
137 10 2
139 10 1
140 10 3
141 10 2
142 10 1
143 10 1
144 10 3
145 10 3
146 10 4
148 10 1
149 10 4
152 10 2
153 10 1
154 10 1
156 10 1
157 10 3
158 10 2
159 10 3
161 10 1
162 10 2
164 10 1
167 10 3
169 10 3
175 10 3
179 10 1
180 10 2
181 10 2
182 10 1
183 10 2
184 10 1
187 10 2
188 10 1
189 10 2
190 10 3
191 10 1
192 10 1
194 10 5
195 10 1
198 10 4
199 10 3
200 10 5
2 11 1
19 11 2
70 11 1
72 11 1
109 11 1
145 11 1
179 11 1
3 13 3
4 13 2
5 13 1
7 13 2
10 13 1
14 13 3
16 13 3
19 13 18
20 13 1
21 13 1
23 13 3
24 13 1
25 13 1
35 13 2
37 13 1
38 13 1
44 13 3
45 13 1
46 13 3
49 13 5
50 13 3
53 13 1
55 13 1
56 13 1
57 13 1
58 13 2
59 13 1
64 13 3
70 13 1
72 13 1
73 13 2
74 13 3
76 13 3
78 13 1
80 13 2
81 13 3
86 13 1
92 13 1
94 13 1
99 13 2
104 13 1
106 13 2
114 13 1
118 13 1
123 13 2
124 13 2
125 13 1
128 13 1
129 13 2
130 13 2
132 13 2
135 13 1
140 13 1
144 13 1
